YEAR,COST,PERCDIFF
1984-85 ,"12,551",0.00%
1985-86,"13,011",3.67%
1986-87 ,"13,792",9.89%
1987-88 ,"13,928",10.97%
1988-89 ,"14,275",13.74%
1989-90 ,"14,609",16.40%
1990-91 ,"14,601",16.33%
1991-92 ,"15,332",22.16%
1992-93 ,"15,806",25.93%
1993-94 ,"16,354",30.30%
1994-95 ,"16,637",32.56%
1995-96 ,"17,199",37.03%
1996-97 ,"17,548",39.81%
1997-98 ,"17,935",42.90%
1998-99 ,"18,585",48.08%
1999-2000 ,"18,764",49.50%
2000-01 ,"18,985",51.26%
2001-02 ,"19,689",56.87%
2002-03 ,"20,395",62.50%
2003-04 ,"21,433",70.77%
2004-05 ,"22,154",76.51%
2005-06 ,"22,559",79.74%
2006-07 ,"23,277",85.46%
2007-08 ,"23,529",87.47%
2008-09 ,"24,400",94.41%
2009-10 ,"25,073",99.77%
2010-11 ,"25,682",104.62%
2011-12 ,"26,010",107.23%
2012-13 ,"26,541",111.47%
2013-14 ,"27,041",115.45%
2014-15 ,"27,615",120.02%
2015-16 ,"28,211",124.77%
2016-17 ,"28,189",124.60%
2017-18 ,"28,360",125.96%
2018-19 ,"28,121",124.05%
2019-20,"28,775",129.26%
