DATE,MEHOINUSA672N,PERCDIFF,TWENTY,FOURTEEN,ZEROEIGHT,ZEROTWO,NINETYSIX,NINETY,EIGHTYFOUR
1/1/1984,53337,0,0,0,0,0,0,0,0
1/1/1985,54334,0.0187,0.0187,0.0187,0.0187,0.0187,0.0187,0.0187,e
1/1/1986,56291,0.0554,0.0554,0.0554,0.0554,0.0554,0.0554,0.0554,e
1/1/1987,56964,0.068,0.068,0.068,0.068,0.068,0.068,0.068,e
1/1/1988,57433,0.0768,0.0768,0.0768,0.0768,0.0768,0.0768,0.0768,e
1/1/1989,58425,0.0954,0.0954,0.0954,0.0954,0.0954,0.0954,0.0954,e
1/1/1990,57677,0.0814,0.0814,0.0814,0.0814,0.0814,0.0814,0.0814,e
1/1/1991,55992,0.0498,0.0498,0.0498,0.0498,0.0498,0.0498,e,e
1/1/1992,55559,0.0417,0.0417,0.0417,0.0417,0.0417,0.0417,e,e
1/1/1993,55263,0.0361,0.0361,0.0361,0.0361,0.0361,0.0361,e,e
1/1/1994,55905,0.0481,0.0481,0.0481,0.0481,0.0481,0.0481,e,e
1/1/1995,57655,0.081,0.081,0.081,0.081,0.081,0.081,e,e
1/1/1996,58494,0.0967,0.0967,0.0967,0.0967,0.0967,0.0967,e,e
1/1/1997,59697,0.1192,0.1192,0.1192,0.1192,0.1192,e,e,e
1/1/1998,61891,0.1604,0.1604,0.1604,0.1604,0.1604,e,e,e
1/1/1999,63423,0.1891,0.1891,0.1891,0.1891,0.1891,e,e,e
1/1/2000,63292,0.1866,0.1866,0.1866,0.1866,0.1866,e,e,e
1/1/2001,61889,0.1603,0.1603,0.1603,0.1603,0.1603,e,e,e
1/1/2002,61190,0.1472,0.1472,0.1472,0.1472,0.1472,e,e,e
1/1/2003,61113,0.1458,0.1458,0.1458,0.1458,e,e,e,e
1/1/2004,60901,0.1418,0.1418,0.1418,0.1418,e,e,e,e
1/1/2005,61553,0.154,0.154,0.154,0.154,e,e,e,e
1/1/2006,62033,0.163,0.163,0.163,0.163,e,e,e,e
1/1/2007,62865,0.1786,0.1786,0.1786,0.1786,e,e,e,e
1/1/2008,60624,0.1366,0.1366,0.1366,0.1366,e,e,e,e
1/1/2009,60200,0.1287,0.1287,0.1287,e,e,e,e,e
1/1/2010,58627,0.0992,0.0992,0.0992,e,e,e,e,e
1/1/2011,57732,0.0824,0.0824,0.0824,e,e,e,e,e
1/1/2012,57623,0.0804,0.0804,0.0804,e,e,e,e,e
1/1/2013,59640,0.1182,0.1182,0.1182,e,e,e,e,e
1/1/2014,58725,0.101,0.101,0.101,e,e,e,e,e
1/1/2015,61748,0.1577,0.1577,e,e,e,e,e,e
1/1/2016,63683,0.194,0.194,e,e,e,e,e,e
1/1/2017,64557,0.2104,0.2104,e,e,e,e,e,e
1/1/2018,65127,0.221,0.221,e,e,e,e,e,e
1/1/2019,69560,0.3042,0.3042,e,e,e,e,e,e
1/1/2020,67521,0.2659,0.2659,e,e,e,e,e,e
